identifier;title;author;source_date;publication_date;source;type
1994_Matywiecki-Piotr_Wstyd;Wstyd;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Do-konca;Do końca;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Warszawa;Warszawa;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Myslenie;Myślenie ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Pusta-magia;Pusta magia: data i adres ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Retoryka-pustki;Retoryka pustki ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Rozbicie;Rozbicie ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Puste-slowa;Puste słowa ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Ja-z-nimi;Ja z nimi - nic ze mną;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Zycie;Życie ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Kohelet;Kohelet ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Przyroda;Przyroda ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Miasto;Miasto ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Golem;Golem ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Aglomeracja;Aglomeracja ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Puste-slowa-miasto;"Puste słowa: „miasto”, „ołtarz"", „cmentarz"" ";Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Chlopiec-w-getcie;Chłopiec w getcie ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Masa;Masa ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Zaglada;Zagłada ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Swiadomosc;Świadomość;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Gdzie-jest-swiadomosc;Gdzie jest świadomość ich zagłady, gdzie jej nie ma? ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Deixis;Deixis;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Uwagi-wstepne;Uwagi wstępne o dystansie ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Inne-uwagi;Inne uwagi wstępne;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Wiezienie;Więzienie ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_111;111;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Zydzi-sa-epidemia;Żydzi są epidemią ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Dzieci-i-starcy;Dzieci i starcy ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Historia;Historia ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Ofiara;Ofiara ;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Gruzy;Gruzy;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1994_Matywiecki-Piotr_Slowa;Słowa;Piotr Matywiecki;1994;1994;Kamień graniczny https://polona.pl/item/kamien-graniczny,MTMyNTAxNTc0/12/#info:metadata;literary
1998_Bienczyk-Marek_Na-placu;Na placu Carrousel;Marek Bieńczyk;1998;1998;Melancholia: o tych, co nigdy nie odnajdą straty https://polona.pl/item/melancholia-o-tych-co-nigdy-nie-odnajda-straty,MTMzNDMxOTYx/3/#item;literary
1998_Bienczyk-Marek_Flaneur-i-inni;Flaneur i inni jeszcze;Marek Bieńczyk;1998;1998;Melancholia: o tych, co nigdy nie odnajdą straty https://polona.pl/item/melancholia-o-tych-co-nigdy-nie-odnajda-straty,MTMzNDMxOTYx/3/#item;literary
1998_Bienczyk-Marek_Czarna-zolc;Czarna żółć czyli nic, które boli;Marek Bieńczyk;1998;1998;Melancholia: o tych, co nigdy nie odnajdą straty https://polona.pl/item/melancholia-o-tych-co-nigdy-nie-odnajda-straty,MTMzNDMxOTYx/3/#item;literary
1998_Bienczyk-Marek_Freud-i-twarz;Freud i twarz melancholijna;Marek Bieńczyk;1998;1998;Melancholia: o tych, co nigdy nie odnajdą straty https://polona.pl/item/melancholia-o-tych-co-nigdy-nie-odnajda-straty,MTMzNDMxOTYx/3/#item;literary
1998_Bienczyk-Marek_Pseudoteksty;Pseudoteksty, pseudonimy;Marek Bieńczyk;1998;1998;Melancholia: o tych, co nigdy nie odnajdą straty https://polona.pl/item/melancholia-o-tych-co-nigdy-nie-odnajda-straty,MTMzNDMxOTYx/3/#item;literary
1998_Bienczyk-Marek_Magiczne-wyliczanie;Magiczne wyliczanie;Marek Bieńczyk;1998;1998;Melancholia: o tych, co nigdy nie odnajdą straty https://polona.pl/item/melancholia-o-tych-co-nigdy-nie-odnajda-straty,MTMzNDMxOTYx/3/#item;literary
1998_Bienczyk-Marek_Spis-powszechny;Spis powszechny i utopia;Marek Bieńczyk;1998;1998;Melancholia: o tych, co nigdy nie odnajdą straty https://polona.pl/item/melancholia-o-tych-co-nigdy-nie-odnajda-straty,MTMzNDMxOTYx/3/#item;literary
1998_Bienczyk-Marek_O-wyzszosci-dolin;O wyższości dolin nad górami;Marek Bieńczyk;1998;1998;Melancholia: o tych, co nigdy nie odnajdą straty https://polona.pl/item/melancholia-o-tych-co-nigdy-nie-odnajda-straty,MTMzNDMxOTYx/3/#item;literary
1998_Bienczyk-Marek_Labirynt-wiecznego;Labirynt wiecznego tułacza;Marek Bieńczyk;1998;1998;Melancholia: o tych, co nigdy nie odnajdą straty https://polona.pl/item/melancholia-o-tych-co-nigdy-nie-odnajda-straty,MTMzNDMxOTYx/3/#item;literary
